Fiyat,Marka,Seri,Model,Yıl,Kilometre,VitesTipi,YakıtTipi,KasaTipi,MotorHacmi,MotorGücü,Çekiş
546000,Fiat,Linea,1.4 Fire Pop,2014,117000.0,Düz,LPG & Benzin,Sedan,1368.0,77.0,Önden Çekiş
685000,Fiat,Egea,1.4 Fire Urban Plus,2018,144000.0,Düz,Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
635000,Fiat,Egea,1.4 Fire Urban,2016,110000.0,Düz,LPG & Benzin,Sedan,1368.0,95.0,Önden Çekiş
555000,Fiat,Egea,1.3 Multijet Easy,2017,87000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
710000,Fiat,Egea,1.4 Fire Urban Plus,2020,30800.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
350000,Fiat,Linea,1.3 Multijet Active Plus,2013,270000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
680000,Fiat,Egea,1.3 Multijet Easy,2020,113000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
660000,Fiat,Panda,1.2 Fire Cross,2020,25000.0,Düz,Benzin,Hatchback/5,1242.0,69.0,Önden Çekiş
797500,Fiat,Egea,1.4 Fire Easy Plus,2023,6500.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
497500,Fiat,Linea,1.3 Multijet Pop,2015,232000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
405000,Fiat,Linea,1.6 Multijet Dynamic,2009,320000.0,Düz,Dizel,Sedan,1598.0,105.0,Önden Çekiş
620000,Fiat,Egea,1.3 Multijet Easy,2019,98000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
535000,Fiat,Egea,1.3 Multijet Easy Plus,2016,199000.0,Düz,Dizel,Hatchback/5,1248.0,95.0,Önden Çekiş
275000,Fiat,Egea,1.3 Multijet Easy,2017,150300.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
615000,Fiat,Punto,1.3 Multijet Lounge,2012,145000.0,Yarı Otomatik,Dizel,Hatchback/5,1248.0,95.0,Önden Çekiş
558000,Fiat,Linea,1.3 Multijet Urban,2013,117000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
783000,Fiat,Egea,1.4 Fire Urban Plus,2022,25000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
330000,Fiat,Linea,1.3 Multijet Active Plus,2013,154000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
617000,Fiat,Egea,1.3 Multijet Easy,2016,151000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
762750,Fiat,Egea,1.4 Fire Mirror,2020,34000.0,Düz,Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
360000,Fiat,Linea,1.6 Multijet Urban,2012,159000.0,Düz,Dizel,Sedan,1598.0,105.0,Önden Çekiş
385000,Fiat,Egea,1.3 Multijet Lounge,2017,150000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
730000,Fiat,Egea,1.4 Fire Easy Plus,2022,9000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
727000,Fiat,Egea,1.4 Fire Easy Plus,2021,76000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
670000,Fiat,Egea,1.3 Multijet Urban,2017,187500.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
303000,Fiat,Palio,1.4 EL,2001,230000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş
728750,Fiat,Egea,1.6 Multijet Easy Plus,2019,97000.0,Yarı Otomatik,Dizel,Sedan,1598.0,120.0,Önden Çekiş
755000,Fiat,Egea,1.6 Multijet Easy,2020,62000.0,Yarı Otomatik,Dizel,Sedan,1598.0,120.0,Önden Çekiş
695000,Fiat,Egea,1.4 Fire Easy,2020,45000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
804000,Fiat,Egea,1.6 Multijet Easy,2020,42600.0,Yarı Otomatik,Dizel,Sedan,1598.0,120.0,Önden Çekiş
525000,Fiat,Linea,1.3 Multijet Urban,2012,185000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
455500,Fiat,Albea,Sole 1.4 Fire Dynamic,2011,166000.0,Düz,Benzin,Sedan,1368.0,77.0,Önden Çekiş
688900,Fiat,Egea,1.3 Multijet Easy,2020,118000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
515000,Fiat,Linea,1.3 Multijet Actual Plus,2015,173000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
280000,Fiat,Palio,1.6 HL,1998,360000.0,Düz,Benzin,Hatchback/5,1581.0,100.0,Önden Çekiş
600000,Fiat,Egea,1.3 Multijet Easy,2017,161000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
620000,Fiat,Egea,1.3 Multijet Easy,2019,230000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
210000,Fiat,Uno,1.4 ie SX,1998,269000.0,Düz,LPG & Benzin,Hatchback/5,1560.0,88.0,Önden Çekiş
345000,Fiat,Palio,1.4 Fire Active,2008,245000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş
585000,Fiat,Linea,1.3 Multijet Pop,2016,148500.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
685000,Fiat,Egea,1.3 Multijet Easy Plus,2020,120000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
735000,Fiat,Egea,1.6 Multijet Easy,2020,90000.0,Yarı Otomatik,Dizel,Sedan,1598.0,120.0,Önden Çekiş
268900,Fiat,Palio,1.6 HL,1999,229500.0,Düz,LPG & Benzin,Hatchback/5,1581.0,100.0,Önden Çekiş
465000,Fiat,Linea,1.3 Multijet Active Plus,2012,214000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
435000,Fiat,Linea,1.3 Multijet Pop,2013,304000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
504000,Fiat,Linea,1.3 Multijet Easy,2012,160000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
655000,Fiat,Egea,1.4 Fire Easy Plus,2020,23000.0,Düz,Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
403000,Fiat,Panda,1.2 Dynamic,2011,120750.0,Düz,LPG & Benzin,Hatchback/5,1242.0,69.0,Önden Çekiş
523000,Fiat,Punto,1.4 Pop S&S,2013,180500.0,Yarı Otomatik,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş
498000,Fiat,Linea,1.3 Multijet Pop,2015,185000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
700000,Fiat,Egea,1.4 Fire Urban Plus,2019,95000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
355000,Fiat,Linea,1.3 Multijet Active Plus,2010,276000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş
700000,Fiat,Egea,1.3 Multijet Urban Plus,2020,106996.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
720000,Fiat,Egea,1.3 Multijet Urban Plus,2019,164000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
709000,Fiat,Egea,1.4 Fire Urban Plus,2020,36500.0,Düz,Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
670000,Fiat,Egea,1.4 Fire Easy Plus,2019,96000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
655000,Fiat,Egea,1.4 Fire Easy,2019,47500.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
950000,Fiat,500 Ailesi,500L 1.3 Mjet Cross Plus,2020,35900.0,Yarı Otomatik,Dizel,MPV,1248.0,95.0,Önden Çekiş
525000,Fiat,Punto,Grande 1.4 Fire Active,2007,62000.0,Yarı Otomatik,Benzin,Hatchback/3,1368.0,77.0,Önden Çekiş
265000,Fiat,Albea,Sole 1.3 Multijet Dynamic,2010,227000.0,Düz,Dizel,Sedan,1248.0,70.0,Önden Çekiş
540000,Fiat,Linea,1.3 Multijet Pop,2017,162000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
365000,Fiat,Albea,1.3 Multijet Active,2004,195000.0,Düz,Dizel,Sedan,1248.0,70.0,Önden Çekiş
315000,Fiat,Palio,1.3 Multijet EL,2004,260000.0,Düz,Dizel,Hatchback/5,1248.0,70.0,Önden Çekiş
199800,Fiat,Siena,1.2 S,2001,244000.0,Düz,LPG & Benzin,Sedan,1242.0,74.0,Önden Çekiş
648500,Fiat,Egea,1.3 Multijet Easy,2020,107000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş
263000,Fiat,Marea,1.6 ELX,2001,215000.0,Düz,LPG & Benzin,Sedan,1596.0,103.0,Önden Çekiş
823000,Fiat,Egea,1.4 Fire Lounge Plus,2021,21000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,95.0,Önden Çekiş
100000,Fiat,Marea,1.6 ELX,2001,258000.0,Otomatik,LPG & Benzin,Sedan,1581.0,103.0,Önden Çekiş
160000,Fiat,Tempra,1.6 SX AK,1991,226000.0,Düz,LPG & Benzin,Hatchback/5,1560.0,105.0,Önden Çekiş
490000,Fiat,Punto,Grande 1.4 Fire Active,2009,169000.0,Düz,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş
705000,Fiat,Egea,1.4 Fire Easy,2021,30500.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş
402000,Fiat,Linea,1.4 Fire Dynamic,2008,205000.0,Düz,Benzin,Sedan,1560.0,105.0,Önden Çekiş
